,Cases,City,CityCode,Country,CountryCode,Date,Lat,Lon,Province,Status,Daily_cases,Daily_count
0,106,,,Singapore,SG,2020-03-01T00:00:00Z,1.35,103.82,,confirmed,0.0,106.0
1,108,,,Singapore,SG,2020-03-02T00:00:00Z,1.35,103.82,,confirmed,106.0,2.0
2,110,,,Singapore,SG,2020-03-03T00:00:00Z,1.35,103.82,,confirmed,108.0,2.0
3,110,,,Singapore,SG,2020-03-04T00:00:00Z,1.35,103.82,,confirmed,110.0,0.0
4,117,,,Singapore,SG,2020-03-05T00:00:00Z,1.35,103.82,,confirmed,110.0,7.0
5,130,,,Singapore,SG,2020-03-06T00:00:00Z,1.35,103.82,,confirmed,117.0,13.0
6,138,,,Singapore,SG,2020-03-07T00:00:00Z,1.35,103.82,,confirmed,130.0,8.0
7,150,,,Singapore,SG,2020-03-08T00:00:00Z,1.35,103.82,,confirmed,138.0,12.0
8,150,,,Singapore,SG,2020-03-09T00:00:00Z,1.35,103.82,,confirmed,150.0,0.0
9,160,,,Singapore,SG,2020-03-10T00:00:00Z,1.35,103.82,,confirmed,150.0,10.0
10,178,,,Singapore,SG,2020-03-11T00:00:00Z,1.35,103.82,,confirmed,160.0,18.0
11,178,,,Singapore,SG,2020-03-12T00:00:00Z,1.35,103.82,,confirmed,178.0,0.0
12,200,,,Singapore,SG,2020-03-13T00:00:00Z,1.35,103.82,,confirmed,178.0,22.0
13,212,,,Singapore,SG,2020-03-14T00:00:00Z,1.35,103.82,,confirmed,200.0,12.0
14,226,,,Singapore,SG,2020-03-15T00:00:00Z,1.35,103.82,,confirmed,212.0,14.0
15,243,,,Singapore,SG,2020-03-16T00:00:00Z,1.35,103.82,,confirmed,226.0,17.0
16,266,,,Singapore,SG,2020-03-17T00:00:00Z,1.35,103.82,,confirmed,243.0,23.0
17,313,,,Singapore,SG,2020-03-18T00:00:00Z,1.35,103.82,,confirmed,266.0,47.0
18,345,,,Singapore,SG,2020-03-19T00:00:00Z,1.35,103.82,,confirmed,313.0,32.0
19,385,,,Singapore,SG,2020-03-20T00:00:00Z,1.35,103.82,,confirmed,345.0,40.0
20,432,,,Singapore,SG,2020-03-21T00:00:00Z,1.35,103.82,,confirmed,385.0,47.0
21,455,,,Singapore,SG,2020-03-22T00:00:00Z,1.35,103.82,,confirmed,432.0,23.0
22,509,,,Singapore,SG,2020-03-23T00:00:00Z,1.35,103.82,,confirmed,455.0,54.0
23,558,,,Singapore,SG,2020-03-24T00:00:00Z,1.35,103.82,,confirmed,509.0,49.0
24,631,,,Singapore,SG,2020-03-25T00:00:00Z,1.35,103.82,,confirmed,558.0,73.0
25,683,,,Singapore,SG,2020-03-26T00:00:00Z,1.35,103.82,,confirmed,631.0,52.0
26,732,,,Singapore,SG,2020-03-27T00:00:00Z,1.35,103.82,,confirmed,683.0,49.0
27,802,,,Singapore,SG,2020-03-28T00:00:00Z,1.35,103.82,,confirmed,732.0,70.0
28,844,,,Singapore,SG,2020-03-29T00:00:00Z,1.35,103.82,,confirmed,802.0,42.0
29,879,,,Singapore,SG,2020-03-30T00:00:00Z,1.35,103.82,,confirmed,844.0,35.0
30,926,,,Singapore,SG,2020-03-31T00:00:00Z,1.35,103.82,,confirmed,879.0,47.0
31,1000,,,Singapore,SG,2020-04-01T00:00:00Z,1.35,103.82,,confirmed,926.0,74.0
32,1049,,,Singapore,SG,2020-04-02T00:00:00Z,1.35,103.82,,confirmed,1000.0,49.0
33,1114,,,Singapore,SG,2020-04-03T00:00:00Z,1.35,103.82,,confirmed,1049.0,65.0
34,1189,,,Singapore,SG,2020-04-04T00:00:00Z,1.35,103.82,,confirmed,1114.0,75.0
35,1309,,,Singapore,SG,2020-04-05T00:00:00Z,1.35,103.82,,confirmed,1189.0,120.0
36,1375,,,Singapore,SG,2020-04-06T00:00:00Z,1.35,103.82,,confirmed,1309.0,66.0
37,1481,,,Singapore,SG,2020-04-07T00:00:00Z,1.35,103.82,,confirmed,1375.0,106.0
38,1623,,,Singapore,SG,2020-04-08T00:00:00Z,1.35,103.82,,confirmed,1481.0,142.0
39,1910,,,Singapore,SG,2020-04-09T00:00:00Z,1.35,103.82,,confirmed,1623.0,287.0
40,2108,,,Singapore,SG,2020-04-10T00:00:00Z,1.35,103.82,,confirmed,1910.0,198.0
41,2299,,,Singapore,SG,2020-04-11T00:00:00Z,1.35,103.82,,confirmed,2108.0,191.0
42,2532,,,Singapore,SG,2020-04-12T00:00:00Z,1.35,103.82,,confirmed,2299.0,233.0
43,2918,,,Singapore,SG,2020-04-13T00:00:00Z,1.35,103.82,,confirmed,2532.0,386.0
44,3252,,,Singapore,SG,2020-04-14T00:00:00Z,1.35,103.82,,confirmed,2918.0,334.0
45,3699,,,Singapore,SG,2020-04-15T00:00:00Z,1.35,103.82,,confirmed,3252.0,447.0
46,4427,,,Singapore,SG,2020-04-16T00:00:00Z,1.35,103.82,,confirmed,3699.0,728.0
47,5050,,,Singapore,SG,2020-04-17T00:00:00Z,1.35,103.82,,confirmed,4427.0,623.0
48,5992,,,Singapore,SG,2020-04-18T00:00:00Z,1.35,103.82,,confirmed,5050.0,942.0
49,6588,,,Singapore,SG,2020-04-19T00:00:00Z,1.35,103.82,,confirmed,5992.0,596.0
50,8014,,,Singapore,SG,2020-04-20T00:00:00Z,1.35,103.82,,confirmed,6588.0,1426.0
51,9125,,,Singapore,SG,2020-04-21T00:00:00Z,1.35,103.82,,confirmed,8014.0,1111.0
52,10141,,,Singapore,SG,2020-04-22T00:00:00Z,1.35,103.82,,confirmed,9125.0,1016.0
53,11178,,,Singapore,SG,2020-04-23T00:00:00Z,1.35,103.82,,confirmed,10141.0,1037.0
54,12075,,,Singapore,SG,2020-04-24T00:00:00Z,1.35,103.82,,confirmed,11178.0,897.0
55,12693,,,Singapore,SG,2020-04-25T00:00:00Z,1.35,103.82,,confirmed,12075.0,618.0
56,13624,,,Singapore,SG,2020-04-26T00:00:00Z,1.35,103.82,,confirmed,12693.0,931.0
57,14423,,,Singapore,SG,2020-04-27T00:00:00Z,1.35,103.82,,confirmed,13624.0,799.0
58,14951,,,Singapore,SG,2020-04-28T00:00:00Z,1.35,103.82,,confirmed,14423.0,528.0
59,15641,,,Singapore,SG,2020-04-29T00:00:00Z,1.35,103.82,,confirmed,14951.0,690.0
